Metal;lrs;lifespan;Sexo;Morph;nacimiento;SEX01;MORPH01;prodBIRTHyr;windBIRTHyr;ala;X9ala;Cola;Tarso;Peso;Moscas;edad_dias;layingJULIANnest;Dist
89;3;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
90;5;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
91;1;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
92;3;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
93;5;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
94;6;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95;6;14;H;B;2007;0;0;1.64;-0.06246138;113;47;33;36.01;390;3;NA;15;1156.6
96;8;NA;H;N;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
97;10;14;H;B;2007;0;0;1.64;-0.06246138;157;83;59;34.98;370;NA;24.14;15;3476.22
98;5;7;H;B;2007;0;0;1.64;-0.06246138;153;72;48;37.74;445;NA;23.49;16;1036.4
99;2;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
100;2;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
101;8;7;H;N;NA;0;1;1.79;-1.552280924;NA;NA;NA;NA;NA;NA;NA;NA;NA
102;14;10;H;B;2011;0;0;1.79;-1.552280924;132;60;33.5;34.96;365;0;28.12;10;2234.2
103;8;9;M;B;2011;1;0;1.79;-1.552280924;184;NA;NA;NA;442.5;NA;28.52;15;110.49
104;4;6;H;B;2011;0;0;1.79;-1.552280924;138;64;45.5;34.15;378;4;21.55;15;2402.57
105;16;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;4;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;4;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;2;4;H;B;NA;0;0;1.68;-1.245007128;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;2;4;H;N;2009;0;1;1.68;-1.245007128;179;100;73;36.94;465;1;27.71;12;1009.02
110;1;8;H;B;2009;0;0;1.68;-1.245007128;185;100;73;39;477.5;1;28.69;13;675.01
111;1;3;H;B;2009;0;0;1.68;-1.245007128;194.5;111;84;36.31;461.5;2;32.27;14;110.54
112;4;8;H;B;2009;0;0;1.68;-1.245007128;179;98.5;66.5;35.52;403;2;27.71;14;2645.7
113;1;3;H;B;2009;0;0;1.68;-1.245007128;173;94;67;38.09;490;0;26.74;14;3239.91
114;2;8;H;B;2009;0;0;1.68;-1.245007128;170;86;65;38.12;489;0;26.25;17;783.3
115;4;3;H;B;2009;0;0;1.68;-1.245007128;227;129;97;35.57;520;3;35.5;10;1626.3
116;3;6;H;B;2009;0;0;1.68;-1.245007128;196;121;94;34.5;454;3;34.78;16;2214.67
117;3;9;H;B;2009;0;0;1.68;-1.245007128;176;101.5;76;36.12;406;0;27.22;19;2070.41
118;0;4;M;B;2009;1;0;1.68;-1.245007128;160;90;63.5;33.19;296;0;24.63;20;145.46
119;11;10;M;N;2009;1;1;1.68;-1.245007128;162;86.5;60;36.73;415;0;24.95;32;2762.2
120;1;9;H;B;2009;0;0;1.68;-1.245007128;179;92;69;36.42;435;4;NA;19;449.03
121;4;9;H;B;2009;0;0;1.68;-1.245007128;150.5;76;54.5;35.52;350;0;NA;27;3401.57
122;2;2;H;B;2009;0;0;1.68;-1.245007128;192.5;110.5;81.5;35.85;390;0;NA;23;850.03
123;3;2;H;B;NA;0;0;2.21;-1.40250537;NA;NA;NA;NA;NA;NA;NA;NA;NA
124;3;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
125;3;NA;H;B;NA;0;0;2.21;-1.40250537;NA;NA;NA;NA;NA;NA;NA;NA;NA
126;2;5;H;N;2010;0;1;2.21;-1.40250537;248;164.5;161;NA;455;NA;38.91;10;3471.47
127;2;8;H;B;2010;0;0;2.21;-1.40250537;197;113;82;NA;432.5;NA;36.33;16;2428
128;15;13;H;B;2010;0;0;2.21;-1.40250537;176;97;72;NA;440;NA;27.22;13;1291.22
129;3;13;M;B;2009;1;0;1.68;-1.245007128;185;100;87;34.34;425;1;28.69;16;2598.83
130;1;3;H;B;2009;0;0;1.68;-1.245007128;202;114;89;36.2;390;5;31.44;15;2739.03
131;6;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
132;6;NA;H;B;NA;0;0;2.21;-1.40250537;NA;NA;NA;NA;NA;NA;NA;NA;NA
133;11;10;H;B;2010;0;0;2.21;-1.40250537;210;130.5;95;NA;490;NA;32.74;23;719.76
134;0;5;H;B;2010;0;0;2.21;-1.40250537;195;107;83;NA;480;NA;33.84;16;682.4
135;18;13;M;B;2010;1;0;2.21;-1.40250537;210;134.5;101.5;NA;408;NA;32.74;21;2335.73
136;13;13;H;B;2010;0;0;2.21;-1.40250537;211;131;102;NA;445;NA;32.91;23;2314.95
137;13;13;H;N;2010;0;1;2.21;-1.40250537;211;131;102;NA;445;NA;32.91;23;2314.95
138;3;6;H;B;2010;0;0;2.21;-1.40250537;236;159.5;122.5;NA;460;NA;36.96;17;838.82
139;2;5;H;B;2010;0;0;2.21;-1.40250537;208.5;122;93;NA;460;NA;32.5;19;2616.25
140;2;5;M;B;2010;1;0;2.21;-1.40250537;201;122;96;NA;430;NA;31.28;23;77.32
141;12;10;M;B;2010;1;0;2.21;-1.40250537;197;119;91;35.7;415;NA;36.33;15;302.42
142;6;12;H;B;2010;0;0;2.21;-1.40250537;170;94;65;36;400;NA;NA;15;1065.44
143;6;13;H;B;2010;0;0;2.21;-1.40250537;215;137;98.5;NA;452;NA;33.56;25;650.66
144;0;3;M;B;2010;1;0;2.21;-1.40250537;170;92.5;68;36.22;427;7;26.25;30;1086.83
145;15;12;H;B;2011;0;0;1.79;-1.552280924;196;NA;NA;NA;405;NA;34.78;20;597.96
146;7;12;M;B;2011;1;0;1.79;-1.552280924;143;69;47;33.67;355;2;21.87;18;349.71
147;0;3;M;B;2011;1;0;1.79;-1.552280924;86;29;11;30.24;196;0;14.22;22;1150.78
148;2;4;H;B;2011;0;0;1.79;-1.552280924;195;NA;NA;NA;412;NA;33.84;20;121.25
149;7;8;H;B;2011;0;0;1.79;-1.552280924;162;81;53;34.12;410;9;24.95;19;1035.16
150;4;10;H;B;2011;0;0;1.79;-1.552280924;188;NA;NA;NA;435;NA;29.17;21;459.92
151;4;5;H;B;2013;0;0;1.57;0.290908371;194;109;76;36.23;450;2;30.15;14;2069.69
152;4;10;M;B;2013;1;0;1.57;0.290908371;200;121;96;36.58;387.5;0;31.12;20;134.81
153;4;6;H;B;2013;0;0;1.57;0.290908371;173;90;65;35.69;425;0;26.74;21;626.14
154;3;5;H;B;2013;0;0;1.57;0.290908371;235;148;114;34.2;480;7;36.8;15;1306.79
155;7;8;M;N;2013;1;1;1.57;0.290908371;195;113;91;34.58;430;7;33.84;22;781.6
156;4;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
157;8;8;M;B;2013;1;0;1.57;0.290908371;249;169;133;34.83;375;3;39.75;18;658.67
158;5;9;H;B;2013;0;0;1.57;0.290908371;156;72;56;35.93;455;8;23.98;11;1224.85
159;15;9;H;N;2013;0;1;1.57;0.290908371;165;80;57;35.9;370;6;25.44;12;3255.35
160;2;2;H;B;2013;0;0;1.57;0.290908371;209;124;98;35.62;515;1;32.58;13;358
161;3;6;M;B;2013;1;0;1.57;0.290908371;240;155;125;36.24;420;5;37.61;20;1087.85
162;1;NA;M;B;NA;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;NA
163;1;4;M;B;2013;1;0;1.57;0.290908371;208;131;103;34.41;335;2;32.42;24;451.22
164;4;8;M;B;2015;1;0;1.32;-0.387763242;242;NA;NA;NA;400;NA;37.94;18;86.62
165;11;8;H;B;2015;0;0;1.32;-0.387763242;178;94;64;35.68;450;5;27.55;16;841.04
166;9;7;M;N;2015;1;1;1.32;-0.387763242;184;106;79;34.5;370;0;28.52;15;691.07
167;12;8;M;N;2015;1;1;1.32;-0.387763242;158;77;58;33.66;322.5;1;24.3;22;10.05
168;3;3;M;B;2015;1;0;1.32;-0.387763242;170;87;70;34.33;320;3;26.25;20;2890.73
169;7;8;H;B;2015;0;0;1.32;-0.387763242;163;82;59;35.41;261;2;25.11;23;458.12
170;10;8;H;B;2015;0;0;1.32;-0.387763242;206;117;91;33.7;410;10;32.94;16;926.16
171;0;6;H;B;2015;0;0;1.32;-0.387763242;205;NA;NA;NA;415;NA;31.93;23;236.33
172;4;4;H;N;2015;0;1;1.32;-0.387763242;196;116;80;34.57;432.5;3;34.78;24;1045.49
173;7;7;H;B;2015;0;0;1.32;-0.387763242;246;161;118;33.75;417.5;0;38.59;20;3302.15
174;3;5;H;B;2016;0;0;2.11;-2.954813904;144;68;50;35.88;290;0;22.29;14;1804.39
175;6;7;M;N;2016;1;1;2.11;-2.954813904;106;34;20;33.06;305;1;16.28;19;322.36
176;2;7;M;B;2016;1;0;2.11;-2.954813904;173;90;73;34.09;410;1;26.74;20;897.43
177;3;7;M;B;2016;1;0;2.11;-2.954813904;148;84;60;33.8;317.5;1;22.68;22;614.42
178;9;7;H;N;2016;0;1;2.11;-2.954813904;186;105;83;34.22;462.5;7;28.85;21;2539.72
179;8;7;H;B;2016;0;0;2.11;-2.954813904;197;124;91;34.23;470;3;36.33;20;2434.98
180;1;5;M;B;2016;1;0;2.11;-2.954813904;188;102;87;35.29;412.5;3;29.17;20;1739.17
181;2;5;H;B;2016;0;0;2.11;-2.954813904;236;163;123;36.04;510;6;36.96;13;2207.33
182;2;3;M;B;2016;1;0;2.11;-2.954813904;176;111;75;34.04;372.5;5;27.22;24;74.67
183;2;7;M;N;2016;1;1;2.11;-2.954813904;184;112;79;34.89;445;2;28.52;18;994.51
184;4;5;H;B;2016;0;0;2.11;-2.954813904;228;145;107;37.08;510;0;35.67;16;546.52
185;6;7;H;B;2016;0;0;2.11;-2.954813904;207;122;96;36.57;465;2;32.26;19;843.93
186;5;7;M;B;2016;1;0;2.11;-2.954813904;193;114;87;35.77;430;1;29.98;23;1203.96
187;5;7;H;B;2016;0;0;2.11;-2.954813904;193;114;87;35.77;430;1;29.98;23;1203.96
188;3;7;M;B;2016;1;0;2.11;-2.954813904;170;96;66;35.71;367.5;2;26.25;23;183.22
189;1;5;M;B;2016;1;0;2.11;-2.954813904;181;111;80;33.83;395;1;28.36;19;558.68
190;1;3;H;B;2016;0;0;2.11;-2.954813904;188;112;80;35.15;370;4;29.17;22;3290.23
191;1;3;H;B;2016;0;0;2.11;-2.954813904;193;109;81;37.83;435;2;29.98;23;471.06
192;2;3;M;B;2016;1;0;2.11;-2.954813904;178;105;74;34.46;410;5;27.55;25;346.28
193;3;4;M;N;2016;1;1;2.11;-2.954813904;189;118;89;32.06;437.5;2;29.33;19;410.97
194;2;5;M;B;2016;1;0;2.11;-2.954813904;220;138;104;34.93;385;0;34.37;19;528.61
195;7;7;M;B;2016;1;0;2.11;-2.954813904;224;141;110;36.46;410;4;35.16;19;440.42
196;6;6;M;N;2016;1;1;2.11;-2.954813904;187;114;91;33.8;400;1;29.97;25;644.61
197;2;3;H;B;2016;0;0;2.11;-2.954813904;190;115;83;35.35;390;2;29.5;25;2064.99
198;5;6;H;B;2016;0;0;2.11;-2.954813904;191;113;85;36.8;460;4;29.66;25;2432.97
199;3;6;M;B;2016;1;0;2.11;-2.954813904;172;99;69;33.98;360;7;26.57;24;145.48
200;2;7;H;B;2016;0;0;2.11;-2.954813904;201;115;83;36.57;490;6;31.28;23;2804.71
201;2;7;H;B;2016;0;0;2.11;-2.954813904;189;108;75;36.59;425;7;29.33;25;1052.83
202;2;7;M;B;2016;1;0;2.11;-2.954813904;165;88;65;34.83;410;10;25.44;23;436.28
203;0;7;H;B;2016;0;0;2.11;-2.954813904;183;105;81;33.9;450;0;28.36;27;421.8
204;4;5;M;N;2016;1;1;2.11;-2.954813904;221;140;114;33.92;405;1;34.53;22;1014.47
205;2;NA;M;N;NA;1;1;2.12;-3.232740274;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;3;NA;M;B;NA;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;3;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;1;4;M;B;2017;1;0;2.12;-3.232740274;171;95;73;35.55;410;3;26.41;12;442.65
209;7;6;M;B;2017;1;0;2.12;-3.232740274;222;146;109;36.65;430;2;34.69;10;474.34
210;4;6;M;N;2017;1;1;2.12;-3.232740274;210;127;93;37.85;450;6;32.74;12;1856.13
211;4;6;M;B;2017;1;0;2.12;-3.232740274;210;120;96;36.21;480;4;32.74350649;12;NA
212;7;6;H;B;2017;0;0;2.12;-3.232740274;181;105;80;35.45;470;1;28.36;17;456.84
213;1;4;H;B;2017;0;0;2.12;-3.232740274;159;79;55;35.1;455;1;24.46;21;161.86
214;1;4;H;B;2017;0;0;2.12;-3.232740274;151;71;46;35.08;480;0;23.17;21;2618.44
215;1;6;M;B;2017;1;0;2.12;-3.232740274;90;29;14.5;31.95;265;0;14.63;21;761.92
216;7;6;H;B;2017;0;0;2.12;-3.232740274;168;91.5;60;37.93;535;3;25.93;16;2013.08
217;1;4;H;B;2017;0;0;2.12;-3.232740274;182;103;87;34.82;470;0;28.2;18;1218.94
218;1;4;M;B;2017;1;0;2.12;-3.232740274;212;134;101;36.69;435;2;33.68;11;203.76
219;3;6;M;B;2017;1;0;2.12;-3.232740274;181;106;73;35.45;430;0;28.36;18;144.13
220;1;4;M;B;2017;1;0;2.12;-3.232740274;195;111;87;37.07;410;5;33.84;16;1033.45
221;3;6;M;B;2017;1;0;2.12;-3.232740274;133.5;64;44.5;36.64;370;0;23.25;20;73.99
222;5;5;M;B;2017;1;0;2.12;-3.232740274;209;134;102;33.81;445;0;32.58;14;162.01
223;1;3;M;B;2017;1;0;2.12;-3.232740274;217;140;109;34.32;450;7;33.88;12;334.77
224;2;6;M;N;2017;1;1;2.12;-3.232740274;196;120;90;34.94;412;1;34.78;15;333.9
225;2;6;M;B;2017;1;0;2.12;-3.232740274;193;113;78;35.97;475;2;29.98;17;1736.81
226;4;5;M;B;2017;1;0;2.12;-3.232740274;143;66.5;51;36.06;395;2;21.87;26;832.77
227;1;6;H;B;2017;0;0;2.12;-3.232740274;130.5;NA;35;34.64;360;1;19.84;25;729.75
228;2;4;M;B;2017;1;0;2.12;-3.232740274;189;109;80;35.01;465;2;29.33;20;438.26
229;4;5;H;B;2017;0;0;2.12;-3.232740274;180;100;78.5;35.43;465;4;27.87;22;758.34
230;2;6;M;B;2017;1;0;2.12;-3.232740274;207;125;98;35.05;420;3;32.26;17;610.4
231;0;6;M;B;2017;1;0;2.12;-3.232740274;224;144;108;35.24;440;2;35.16;15;377.98
232;1;5;H;B;2017;0;0;2.12;-3.232740274;155;81.5;53;34.78;420;2;23.81;25;653.43
233;2;6;M;B;2017;1;0;2.12;-3.232740274;199;124;91;35.08;435;5;39.58;20;1036.83
234;3;5;M;B;2017;1;0;2.12;-3.232740274;188;116;81;34.67;440;2;29.17;20;495.28
235;3;6;H;B;2017;0;0;2.12;-3.232740274;165;83;63;33.79;438;1;25.44;26;725.24
236;6;6;M;B;2017;1;0;2.12;-3.232740274;207;128;91;37.55;460;2;32.26;20;3405.52
237;2;6;M;B;2017;1;0;2.12;-3.232740274;194;118;91.5;36.11;400;5;30.15;22;266.79
