Metal;lrs;lifespan;Sexo;Morph;nacimiento;SEX01;MORPH01;prodBIRTHyr;windBIRTHyr;ala;X9ala;Cola;Tarso;Peso;Moscas;edad_dias;layingJULIANnest;Dist
285;3;4;H;N;2019;0;1;1.98;-1.910949707;190;109;83;36.17;395;2;30;25;589.09
286;1;4;M;B;2019;1;0;1.98;-1.910949707;150;80;53;34.73;285;0;23;25;635.25
287;1;3;M;B;2019;1;0;1.98;-1.910949707;156;77;61;33.57;315;5;24;32;2324.52
288;1;4;M;B;2019;1;0;1.98;-1.910949707;196;107;91;35.43;405;6;30;26;785.96
289;5;4;M;N;2019;1;1;1.98;-1.910949707;221;138;108;33.94;415;0;35;22;1606.74
290;2;NA;H;B;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;29;NA
291;0;4;M;B;2019;1;0;1.98;-1.910949707;161;85;63;33.53;335;1;25;29;709.15
292;2;3;H;B;2019;0;0;1.98;-1.910949707;189;105;73;34.66;435;4;29;29;1531.67
293;2;4;H;B;2019;0;0;1.98;-1.910949707;234;154;118;35.79;475;4;37;20;305.09
294;0;4;M;N;2019;1;1;1.98;-1.910949707;224;142;110;34.73;430;16;35;23;184.5
295;1;4;M;B;2019;1;0;1.98;-1.910949707;151;76;54;33.62;330;4;23;34;1395.84
296;0;2;H;B;2019;0;0;1.98;-1.910949707;190;114;90;34.01;470;4;29;30;1973.62
297;1;4;M;N;2019;1;1;1.98;-1.910949707;184;108;76;33.62;370;2;29;27;213.24
298;0;4;H;B;2019;0;0;1.98;-1.910949707;169;89;66;34.03;380;3;26;34;1844.3
299;1;3;H;B;2020;0;0;1.83;-1.075666206;159;67;51;36.92;395;0;24;11;752.99
300;1;3;H;B;2020;0;0;1.83;-1.075666206;194;119;88;34.75;300;2;30;19;798.98
301;1;3;M;B;2020;1;0;1.83;-1.075666206;194;122;91;35.99;245;1;30;20;535.35
302;4;3;M;B;2020;1;0;1.83;-1.075666206;271;178;140;34.97;395;2;40;22;145.97
