OffspringNUM;Sexo;Morph;nacimiento;year;Nido;Ring;location_1;location_9sites;location_3sites;location_4sites;age;breeding;success;SEX01;MORPH01;prod;prodBIRTHyr;wind;windBIRTHyr;ala;X9ala;Cola;Tarso;Peso;Moscas;edad_dias;layingJULIANnest;Dist;avgAGE;deltaAGE;Metal
2;H;B;NA;2017;ER-17-17;AFN;ER;ER;rapalobos;norte;NA;SI;1;0;0;2.12;NA;-3.232740274;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;EF_Y686ybfm
2;H;B;NA;2013;ER-9-13;AFP;ER;ER;rapalobos;norte;4;SI;1;0;0;1.57;1.68;0.290908371;-1.245007128;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0;EF_KdhYsXQJ
2;H;N;2009;2013;ECI-2-13;B0M;ECI;ECI;cald;norte;4;SI;1;0;1;1.57;1.68;0.290908371;-1.245007128;179;100;73;36.94;465;1;27.71;12;1009.02;4;0;EF_jxjhDtj6
1;H;B;2009;2017;ECE-21-17;Bl1A;ECE;ECE;cald;norte;8;SI;1;0;0;2.12;1.68;-3.232740274;-1.245007128;185;100;73;39;477.5;1;28.69;13;675.01;8;0;EF_kQfgwWkp
1;H;B;2009;2012;ER-25-12;B01;ER;ER;rapalobos;norte;3;SI;1;0;0;1.23;1.68;0.60649199;-1.245007128;194.5;111;84;36.31;461.5;2;32.27;14;110.54;3;0;EF_eQRLkF8s
2;H;B;2009;2015;ECE-21-15;B03;ECE;ECE;cald;norte;6;SI;1;0;0;1.32;1.68;-0.387763242;-1.245007128;179;98.5;66.5;35.52;403;2;27.71;14;2645.7;7;-1;EF_yriwqQS5
2;H;B;2009;2017;ECE-2-17;B03;ECE;ECE;cald;norte;8;SI;1;0;0;2.12;1.68;-3.232740274;-1.245007128;179;98.5;66.5;35.52;403;2;27.71;14;2645.7;7;1;EF_yriwqQS5
1;H;B;2009;2012;ECE-19-12;B08;ECE;ECE;cald;norte;3;SI;1;0;0;1.23;1.68;0.60649199;-1.245007128;173;94;67;38.09;490;0;26.74;14;3239.91;3;0;EF_4Qqsa9N4
2;H;B;2009;2017;ELC-1-17;B09;ELC;EL;rapalobos;rapalobos;8;SI;1;0;0;2.12;1.68;-3.232740274;-1.245007128;170;86;65;38.12;489;0;26.25;17;783.3;8;0;EF_WhrAe6x4
2;H;B;2009;2012;ECI-9-12;B1T;ECI;ECI;cald;norte;3;SI;1;0;0;1.23;1.68;0.60649199;-1.245007128;227;129;97;35.57;520;3;35.5;10;1626.3;3;0;EF_TqEbheDp
2;H;B;2009;2012;ECI-11-12;Bl1T;ECI;ECI;cald;norte;3;SI;1;0;0;1.23;1.68;0.60649199;-1.245007128;227;129;97;35.57;520;3;35.5;10;1626.3;3;0;EF_TqEbheDp
3;H;B;2009;2015;EN-14-15;B26;EN;EN;norte;norte;6;SI;1;0;0;1.32;1.68;-0.387763242;-1.245007128;196;121;94;34.5;454;3;34.78;16;2214.67;6;0;EF_AEnBCXHJ
1;H;B;2009;2015;ECE-1-15;B5C;ECE;ECE;cald;norte;6;SI;1;0;0;1.32;1.68;-0.387763242;-1.245007128;176;101.5;76;36.12;406;0;27.22;19;2070.41;7.333333333;-1.333333333;EF_t65xgtph
1;H;B;2009;2016;ECE-1-16;B5C;ECE;ECE;cald;norte;7;SI;1;0;0;2.11;1.68;-2.954813904;-1.245007128;176;101.5;76;36.12;406;0;27.22;19;2070.41;7.333333333;-0.333333333;EF_t65xgtph
